lat_bin,lon_bin,latitude,longitude,co2,time
-36.8,143.4,-36.76323,143.391205,405.698685,1565129983.8510187
-36.7,143.4,-36.749996,143.39554,402.9428,1565129984.0310216
-36.5,143.6,-36.532646,143.64384,403.2415,1565129988.752018
-36.5,143.7,-36.522431,143.715216,406.439792,1565129989.5644135
-36.5,143.8,-36.5222775,143.75806,407.576785,1565129989.9904943
-34.4,146.7,-34.35961233333333,146.67655666666667,411.63142,1565130041.8390095
-34.3,146.6,-34.30501,146.63933,409.37787,1565130042.0580254
-34.3,146.7,-34.296322454545454,146.70112090909092,410.3850818181818,1565130042.7639084
-34.3,146.8,-34.27470746153846,146.80061230769232,410.8950684615384,1565130043.9847004
-34.3,146.9,-34.25146,146.86707,409.31647,1565130044.89599
-34.2,146.7,-34.234152,146.7214642857143,410.23013142857144,1565130043.637153
-34.2,146.8,-34.203266956521745,146.80280739130436,410.2108143478261,1565130044.7764018
-34.2,146.9,-34.19243161904762,146.89572,410.1061271428572,1565130045.8152943
-34.2,147.0,-34.16243625,146.97258,410.12467000000004,1565130046.9027586
-34.1,146.8,-34.138549,146.82988,409.71848,1565130045.745
-34.1,146.9,-34.1087575,146.90463649999998,409.8594875,1565130046.8071065
-34.1,147.0,-34.09858673913044,146.99927782608694,410.4627630434783,1565130047.855573
-34.1,147.1,-34.068135875,147.08097625,409.77788875,1565130048.9962547
-34.0,146.9,-34.049587,146.93524,409.63394,1565130047.75202
-34.0,147.0,-34.01546305882353,147.00777294117648,410.19586882352945,1565130048.8391213
-34.0,147.1,-34.000505125,147.09829291666668,410.12650666666667,1565130049.8981724
-34.0,147.2,-33.97746625,147.18222,409.77497666666665,1565130050.9808428
-33.9,123.5,-33.912388,123.529335,409.2297,1565135617.752023
-33.9,123.6,-33.86543,123.64083,407.07278,1565135619.364004
-33.9,147.1,-33.92721683333334,147.11296833333333,410.1786391666667,1565130050.8380086
-33.9,147.2,-33.89947125,147.19924916666668,410.21290750000003,1565130051.9935074
-33.9,147.3,-33.885744277777775,147.29000722222224,410.07294333333334,1565130053.0431197
-33.9,147.4,-33.86411,147.35222,409.3733,1565130053.8960218
-33.8,147.2,-33.83336942857143,147.22097857142856,410.30036714285717,1565130052.9267194
-33.8,147.3,-33.80440991304348,147.30149869565219,410.2346773913044,1565130054.0384402
-33.8,147.4,-33.79173865217391,147.3949795652174,410.10385869565215,1565130055.1035705
-33.8,147.5,-33.764269,147.46287999999998,409.84488999999996,1565130056.076014
-33.7,147.3,-33.7369725,147.332385,410.16889249999997,1565130055.0782526
