lat_bin,lon_bin,latitude,longitude,co2,time
-51.8,-71.4,-51.758995,-71.395365,417.99487999999997,1699804353.7295043
-51.8,-71.3,-51.763159,-71.296007,417.484685,1699804354.7295191
-51.8,-71.2,-51.7606496,-71.2046032,418.417688,1699804355.640208
-51.8,-71.1,-51.761151000000005,-71.08851,418.9511,1699804356.8030074
-51.8,-70.7,-51.76548466666666,-70.698825,419.04610166666663,1699804360.7096717
-51.8,-70.6,-51.774256333333334,-70.6010815,418.5299466666667,1699804361.700674
-51.8,-70.5,-51.777745333333336,-70.50170133333333,418.28284,1699804362.7007828
-51.8,-70.4,-51.78608233333333,-70.40934166666666,417.27492666666666,1699804363.636183
-51.8,-70.3,-51.783483000000004,-70.33041625,418.573935,1699804364.4230092
-51.8,-69.9,-51.80796566666667,-69.87478333333333,418.42065,1699804369.0160036
-51.8,-69.8,-51.76810125,-69.8074565,417.9208725,1699804369.6437511
-51.8,-69.7,-51.7966745,-69.6945595,417.9694775,1699804370.8081334
-51.8,-69.6,-51.795851000000006,-69.61017371428571,418.85632714285714,1699804371.6528604
-51.8,-69.5,-51.79066944444444,-69.48354222222221,417.6632788888889,1699804372.9158952
-51.8,-69.4,-51.79922888888889,-69.41542044444445,417.66490444444446,1699804373.6076684
-51.8,-69.3,-51.79698583333334,-69.2923225,417.83068083333336,1699804374.8389251
-51.8,-69.2,-51.791186777777774,-69.20170888888889,417.3134627777778,1699804375.741285
-51.8,-69.1,-51.79611953333333,-69.09848193333333,418.091638,1699804376.7812777
-51.8,-69.0,-51.79690406666667,-69.00971106666665,418.4817013333333,1699804377.6719453
-51.8,-68.9,-51.81177814285714,-68.90846771428572,419.39043714285714,1699804378.7004354
-51.7,-71.6,-51.741755999999995,-71.607835,417.56588,1699804351.5765085
-51.7,-71.4,-51.7168798,-71.42515900000001,417.265686,1699804353.3662071
-51.7,-71.3,-51.725967454545454,-71.29759045454546,417.84278454545455,1699804354.656827
-51.7,-71.2,-51.724889777777776,-71.20717822222223,419.04759666666666,1699804355.5605633
-51.7,-71.1,-51.700405,-71.10826,419.182635,1699804356.5174997
-51.7,-70.8,-51.736816,-70.76807,419.8267,1699804359.9770262
-51.7,-70.7,-51.71297114285714,-70.6891107142857,416.9162457142857,1699804360.7374325
-51.7,-70.6,-51.72012790909091,-70.60178581818182,418.2447418181818,1699804361.6222837
-51.7,-70.5,-51.7301992,-70.51848,415.581678,1699804362.4706116
-51.7,-70.4,-51.7276065,-70.36379500000001,417.85263,1699804364.0174994
-51.7,-70.3,-51.69485375,-70.28752775000001,418.480315,1699804364.745015
-51.7,-70.2,-51.69420733333333,-70.18715533333334,417.9674333333333,1699804365.7516747
-51.7,-70.1,-51.69732166666666,-70.08796199999999,415.28098666666665,1699804366.7516696
-51.7,-70.0,-51.716342,-69.97646225,417.129135,1699804367.8912563
-51.7,-69.9,-51.72223288888889,-69.89467677777778,417.57455,1699804368.7186718
-51.7,-69.8,-51.72157144444444,-69.79432611111112,417.98045333333334,1699804369.72467
-51.7,-69.7,-51.71972314285715,-69.69852842857144,417.95226142857143,1699804370.684719
-51.7,-69.6,-51.717856600000005,-69.5865272,417.964538,1699804371.8076038
-51.7,-69.5,-51.72956011111111,-69.49633,417.83988111111114,1699804372.7246761
-51.7,-69.4,-51.73197444444444,-69.396935,416.8906166666667,1699804373.7246752
-51.7,-69.3,-51.732275875,-69.30113575,417.6192875,1699804374.686381
-51.7,-69.2,-51.72880783333333,-69.19607416666666,417.3878583333333,1699804375.738176
-51.7,-69.1,-51.731017,-69.09670733333333,418.032535,1699804376.7381706
-51.7,-69.0,-51.7331145,-68.997313,419.253445,1699804377.738507
-50.4,-73.0,-50.3675565,-72.9698575,422.798205,1699810151.837504
-50.4,-72.9,-50.39614,-72.94867,439.469,1699810151.9499958
-50.2,-72.0,-50.17862433333334,-71.97528833333332,418.2239133333333,1699810162.586671
-50.2,-71.9,-50.196936263157895,-71.89693857894737,417.8031289473684,1699810163.3103235
-50.2,-71.8,-50.193253812500004,-71.803603125,417.62305625,1699810164.2675688
-50.2,-71.7,-50.182494999999996,-71.71305708333334,417.30556583333333,1699810165.223259
-50.2,-71.6,-50.170032272727276,-71.60263363636363,416.8380190909091,1699810166.3873672
-50.2,-71.5,-50.168529166666666,-71.50264766666668,415.9368416666667,1699810167.4050047
-50.2,-71.4,-50.156707999999995,-71.40922,416.32255499999997,1699810168.396014
-50.1,-72.0,-50.14557,-71.97148,418.33188,1699810162.7519891
-50.1,-71.9,-50.136987250000004,-71.901314,417.799245,1699810163.4950147
-50.1,-71.8,-50.1275008,-71.7991665,416.685362,1699810164.5634055
-50.1,-71.7,-50.12025807692308,-71.69357823076923,416.26012153846153,1699810165.658855
-50.1,-71.6,-50.10973906666666,-71.59490073333333,416.7121333333333,1699810166.697674
-50.1,-71.5,-50.10314884210526,-71.49870947368422,418.4107684210526,1699810167.696743
-50.1,-71.4,-50.0991128,-71.40535059999999,417.1662945,1699810168.6571572
-50.1,-71.3,-50.095774842105264,-71.3067382631579,416.8464526315789,1699810169.667379
-50.1,-71.2,-50.087537235294114,-71.20270211764706,417.8808976470588,1699810170.750715
-50.1,-71.1,-50.08069918181818,-71.09811281818182,418.2252281818182,1699810171.8345535
-50.1,-71.0,-50.06855042857143,-71.00074214285715,417.57812714285717,1699810172.86772
-50.1,-70.9,-50.05898875,-70.910405,418.2162125,1699810173.819501
-50.0,-71.4,-50.04410866666666,-71.38532866666667,417.43743666666666,1699810169.0760076
-50.0,-71.3,-50.032103285714285,-71.28742285714286,418.14541428571425,1699810170.1132905
-50.0,-71.2,-50.02457911111111,-71.19406888888889,417.7085177777778,1699810171.086006
-50.0,-71.1,-50.01498761538461,-71.0989053076923,418.8066015384615,1699810172.086389
-50.0,-71.0,-50.001842421052636,-71.00251615789473,418.14001526315786,1699810173.1144798
-50.0,-70.9,-49.99842623809524,-70.90058914285714,417.77614000000005,1699810174.1589105
-50.0,-70.8,-50.00001652380952,-70.79978923809524,417.24532380952377,1699810175.171816
-50.0,-70.7,-49.991679312500004,-70.69758675,417.631081875,1699810176.2383196
-50.0,-70.6,-49.9832722,-70.6061301,417.102671,1699810177.1977084
-50.0,-70.5,-49.967087,-70.49701,417.32273333333336,1699810178.3673408
-50.0,-70.4,-49.9638025,-70.39668499999999,414.64804000000004,1699810179.3960147
-49.9,-70.9,-49.9435275,-70.88045,417.50115,1699810174.5849967
-49.9,-70.8,-49.933728,-70.7867875,416.9441225,1699810175.5715032
-49.9,-70.7,-49.924014899999996,-70.702753,418.060872,1699810176.4607098
-49.9,-70.6,-49.916191600000005,-70.5981834,417.61624,1699810177.551139
-49.9,-70.5,-49.90797918181818,-70.51267454545454,416.96041,1699810178.4503694
-49.9,-70.4,-49.90175207142857,-70.39507678571428,417.0479771428571,1699810179.6649387
-49.9,-70.3,-49.900873999999995,-70.29149033333333,417.76405083333333,1699810180.7157488
-49.9,-70.2,-49.88506866666667,-70.2074898,417.18976399999997,1699810181.631007
-49.9,-70.1,-49.882112666666664,-70.1124761111111,417.27275333333336,1699810182.6045601
-49.9,-70.0,-49.8726183,-70.0031285,417.452286,1699810183.7509096
-49.9,-69.9,-49.860777,-69.87832,414.36676,1699810185.0625098
-49.9,-69.8,-49.851574,-69.83268,418.0897,1699810185.56301
-49.8,-70.3,-49.833884833333336,-70.28895316666667,417.59889833333335,1699810181.0203402
-49.8,-70.2,-49.82519655555556,-70.18998333333333,416.5110633333333,1699810182.058011
-49.8,-70.1,-49.815013,-70.0904902,417.549434,1699810183.1084027
-49.8,-70.0,-49.799531583333334,-69.99428291666666,417.43608666666665,1699810184.146589
-49.8,-69.9,-49.79689017647059,-69.90042635294118,418.27395352941176,1699810185.1068301
-49.8,-69.8,-49.80252622222222,-69.80207888888889,418.03235666666666,1699810186.0776186
-49.8,-69.7,-49.8021618,-69.7107965,417.804597,1699810187.0033078
-49.8,-69.6,-49.7996715,-69.5982975,418.752925,1699810188.1527565
-49.8,-69.3,-49.751823,-69.34727,423.46555,1699810190.8959925
-49.7,-69.8,-49.724033,-69.76865,417.86523,1699810186.75202
-49.7,-69.7,-49.7378248,-69.70770680000001,417.583414,1699810187.3084037
-49.7,-69.6,-49.70505528571429,-69.59586342857143,417.16123,1699810188.5818632
-49.7,-69.5,-49.671963250000005,-69.49511625,418.2586825,1699810189.745003
-49.7,-69.3,-49.68209733333333,-69.30131833333333,416.8947,1699810191.661669
-49.7,-69.2,-49.69017066666667,-69.20901066666666,416.67634,1699810192.5611813
-49.7,-69.1,-49.684626333333334,-69.13087866666666,417.59561,1699810193.3763382
-49.7,-69.0,-49.6615965,-68.95635,420.097945,1699810195.242519
-49.7,-68.9,-49.656541000000004,-68.89398466666667,419.40787666666665,1699810195.8960056
-49.6,-69.3,-49.63136533333333,-69.29339,416.34417,1699810191.9650002
-49.6,-69.2,-49.624921,-69.21014333333333,417.59127000000007,1699810192.8356724
-49.6,-69.1,-49.6181543,-69.091966,417.02845399999995,1699810194.0616
-49.6,-69.0,-49.58498628571429,-68.97659142857142,418.29576714285713,1699810195.3757167
-49.6,-68.9,-49.61712566666666,-68.914895,415.62292,1699810195.857006
-49.6,-68.8,-49.62104457142857,-68.79421157142858,417.99702142857143,1699810197.062008
-49.6,-68.7,-49.59620777777778,-68.69785377777777,417.33476777777776,1699810198.1483414
-49.6,-68.6,-49.5669928,-68.59967300000001,417.41102,1699810199.2726116
-49.6,-68.5,-49.56452683333333,-68.50482066666667,419.1937683333333,1699810200.2428405
-49.6,-68.4,-49.555899,-68.42761,419.4534,1699810201.0625033
-49.5,-68.7,-49.52857233333333,-68.70551999999999,417.5672,1699810198.373334
-49.5,-68.6,-49.50210727272727,-68.58556427272727,418.0321581818182,1699810199.7075465
-49.5,-68.5,-49.50098942857143,-68.4994149047619,418.16320047619047,1699810200.5831506
-49.5,-68.4,-49.501608950000005,-68.39790045,418.377883,1699810201.6076584
-49.5,-68.3,-49.49549188888889,-68.29405755555555,417.3248477777778,1699810202.6876764
-49.5,-68.2,-49.479944499999995,-68.21276133333333,417.79060499999997,1699810203.5820901
-49.5,-68.1,-49.47340311111111,-68.10240222222222,417.22517,1699810204.7287836
-49.5,-68.0,-49.4578615,-68.00161675,417.87335,1699810205.8195083
-49.4,-68.4,-49.43962575,-68.4040935,416.64729250000005,1699810201.8282506
-49.4,-68.3,-49.426783444444446,-68.28856833333333,417.28345333333334,1699810203.058009
-49.4,-68.2,-49.417177,-68.19351530769231,417.3552807692308,1699810204.064929
-49.4,-68.1,-49.40259052941177,-68.10095194117648,416.83459705882353,1699810205.0686562
-49.4,-68.0,-49.39376785,-67.99907065,416.23984899999994,1699810206.140056
-49.4,-67.9,-49.399922333333336,-67.8909885,417.07060333333334,1699810207.2067568
-49.4,-67.8,-49.392686,-67.82169400000001,417.360085,1699810207.943255
-49.4,-67.6,-49.363792,-67.63937,415.78375,1699810209.9230063
-49.3,-68.0,-49.3414955,-67.97928999999999,417.20368,1699810206.5850039
-49.3,-67.9,-49.333121999999996,-67.88332319999999,417.322914,1699810207.596807
-49.3,-67.8,-49.31697111111111,-67.80481455555555,416.42060444444445,1699810208.468337
-49.3,-67.7,-49.31732,-67.65287,417.35287,1699810210.003996
-49.3,-67.6,-49.305020500000005,-67.63533333333334,417.37601333333333,1699810210.2395008
-49.0,-67.7,-48.950356,-67.68882,413.26495,1699798570.2289894
-49.0,-67.6,-48.959746,-67.59985625,417.1456,1699798571.1662605
-49.0,-67.5,-48.96551566666667,-67.53733666666666,414.36797,1699798571.821001
-48.9,-68.1,-48.855053,-68.068504,417.43347,1699798565.896001
-48.9,-68.0,-48.862815999999995,-68.004575,414.13251249999996,1699798566.5762634
-48.9,-67.9,-48.88354311111111,-67.88869211111111,416.63137777777774,1699798567.8488955
-48.9,-67.8,-48.889403933333334,-67.7898984,416.1068173333333,1699798568.8647428
-48.9,-67.7,-48.888062769230764,-67.70150923076923,415.1765653846154,1699798569.735236
-48.9,-67.6,-48.89907584615385,-67.5999643076923,415.51366384615386,1699798570.809238
-48.9,-67.5,-48.9104635,-67.50449499999999,417.51165499999996,1699798571.82626
-48.9,-67.4,-48.906589499999995,-67.42737,413.616245,1699798572.5715034
-48.8,-68.5,-48.750854,-68.475716,416.91617,1699798561.228998
-48.8,-68.4,-48.76495633333334,-68.39932166666667,416.25631,1699798562.0716743
-48.8,-68.3,-48.77583518181818,-68.301269,415.95371,1699798563.109736
-48.8,-68.2,-48.79125329411765,-68.19876099999999,416.5014205882353,1699798564.2197707
-48.8,-68.1,-48.800525,-68.098447,416.25894850000003,1699798565.2716053
-48.8,-68.0,-48.79548994117647,-68.00047847058823,416.14950529411766,1699798566.216009
-48.8,-67.9,-48.811622928571424,-67.90897835714286,415.81829285714286,1699798567.221508
-48.8,-67.8,-48.815800375,-67.80132499999999,416.02990375,1699798568.318132
-48.8,-67.7,-48.8348726,-67.7098852,414.54196,1699798569.3408108
-48.8,-67.6,-48.845325,-67.64136,417.5207,1699798570.084995
-48.7,-68.9,-48.65269,-68.852196,417.25348,1699798556.89601
-48.7,-68.8,-48.6638,-68.7839888,417.06876200000005,1699798557.6402023
-48.7,-68.7,-48.677552125,-68.701248625,417.35823875,1699798558.5446332
-48.7,-68.6,-48.691206375,-68.596115625,416.18018562500004,1699798559.6706958
-48.7,-68.5,-48.701586176470585,-68.50178817647058,416.42550470588236,1699798560.6701858
-48.7,-68.4,-48.7013055,-68.40314157142856,415.71216,1699798561.6487963
-48.7,-68.3,-48.711416666666665,-68.29916773333333,416.61696466666666,1699798562.7439392
-48.7,-68.2,-48.724931818181815,-68.20336027272728,417.0389818181818,1699798563.7779136
-48.7,-68.1,-48.737836200000004,-68.10823,415.765646,1699798564.8022153
-48.7,-68.0,-48.742786,-68.04934,417.16864,1699798565.4179916
-48.6,-69.2,-48.5594555,-69.18842599999999,418.722515,1699798552.986003
-48.6,-69.1,-48.575775444444446,-69.09345555555555,417.08936666666665,1699798554.0281208
-48.6,-69.0,-48.57879642857143,-68.99978314285714,416.799215,1699798554.9757257
-48.6,-68.9,-48.6033765625,-68.8995969375,416.25019125,1699798556.1217585
-48.6,-68.8,-48.6002047,-68.80237125,416.829985,1699798557.0679564
-48.6,-68.7,-48.60967757894737,-68.70279268421052,416.48857315789473,1699798558.1159
-48.6,-68.6,-48.621394111111115,-68.60867833333333,415.63409666666666,1699798559.1231198
-48.6,-68.5,-48.6307674,-68.5121702,415.9563,1699798560.1408124
-48.5,-69.6,-48.452324,-69.60065,417.18484,1699798548.2289882
-48.5,-69.5,-48.47242983333334,-69.50598266666667,418.5644816666666,1699798549.2938452
-48.5,-69.4,-48.48452258333333,-69.39876341666667,417.3575666666666,1699798550.432007
-48.5,-69.3,-48.498049333333334,-69.29675033333334,418.01360222222223,1699798551.528561
-48.5,-69.2,-48.501851823529414,-69.19720582352942,417.65591352941175,1699798552.5403023
-48.5,-69.1,-48.5077025882353,-69.10512670588236,417.6594776470588,1699798553.4920669
-48.5,-69.0,-48.517252750000004,-69.00473383333333,417.7842516666667,1699798554.5490036
-48.5,-68.9,-48.53124225,-68.90679324999999,417.56121125,1699798555.6097567
-48.5,-68.8,-48.5444475,-68.81695500000001,417.88120000000004,1699798556.585008
-48.4,-70.0,-48.350174,-69.97255,417.0629,1699798543.896
-48.4,-69.9,-48.365530166666666,-69.89740516666667,416.88426499999997,1699798544.738341
-48.4,-69.8,-48.377762636363634,-69.80042218181819,416.7545,1699798545.7763724
-48.4,-69.7,-48.39008721052632,-69.69851321052631,417.6111994736842,1699798546.8651166
-48.4,-69.6,-48.400822166666664,-69.60059366666667,417.21532,1699798547.904452
-48.4,-69.5,-48.40272341666667,-69.50958533333333,417.7496475,1699798548.8207538
-48.4,-69.4,-48.4159985,-69.40368875,417.77095166666663,1699798549.9566727
-48.4,-69.3,-48.42669685714286,-69.31363928571429,417.8717485714286,1699798550.9190042
-48.4,-69.2,-48.445953,-69.20940333333333,417.62792999999994,1699798552.0760136
-48.3,-70.3,-48.262780666666664,-70.28609166666666,419.63703000000004,1699798540.2293398
-48.3,-70.2,-48.271949888888884,-70.19982733333333,416.73788333333334,1699798541.142234
-48.3,-70.1,-48.2864209375,-70.0990696875,417.26414375,1699798542.2332551
-48.3,-70.0,-48.29747226315789,-70.0021575263158,417.14967684210524,1699798543.2653224
-48.3,-69.9,-48.30025968421052,-69.90279894736842,417.0328336842105,1699798544.2699566
-48.3,-69.8,-48.31277846666667,-69.802856,416.6748666666666,1699798545.34214
-48.3,-69.7,-48.3201457,-69.7085061,417.21390499999995,1699798546.3274052
-48.3,-69.6,-48.3366536,-69.6170156,418.89790000000005,1699798547.3408093
-48.3,-69.5,-48.348354,-69.54966,416.6362,1699798548.0849936
